Route;From;Start;End;To;Trip;Duration;Distance;MinLay;VehGrp
F521;otdwie;6:15;6:45;tschav;1004;0:30;17.657;0;V12E,V18S
F521;otdwie;7:25;8:00;tschav;1016;0:35;17.657;0;V12E,V18S
F521;otdwie;11:15;11:50;tschav;1264;0:35;14.946;0;V12E,V18S
F521;tschav;11:25;11:55;otdwie;1031;0:30;14.945;0;V12E,V18S
F521;tschav;11:55;12:25;otdwie;1051;0:30;14.945;0;V12E,V18S
F521;otdwie;12:00;12:35;tschav;1072;0:35;14.946;0;V12E,V18S
F521;tschav;12:40;13:10;otdwie;1055;0:30;14.945;0;V12E,V18S
F521;tschav;15:45;16:15;otdwie;1111;0:30;14.945;0;V12E,V18S
F521;otdwie;16:15;16:50;tschav;1348;0:35;14.946;0;V12E,V18S
F521;tschav;17:05;17:35;otdwie;1135;0:30;14.945;0;V12E,V18S
F521;otdwie;17:35;18:10;tschav;1372;0:35;14.946;0;V12E,V18S
F521;otdwie;19:00;19:35;tschav;1196;0:35;17.657;0;V12E,V18S
F521;tschav;21:45;22:15;otdwie;1195;0:30;14.945;0;V12E,V18S
F522;wazhot;8:40;9:05;tschav;1004;0:25;12.587;0;V12E,V18S
F522;tschav;9:10;9:30;wazhot;1003;0:20;13.074;0;V12E,V18S
F522;wazhot;14:15;14:40;tschav;1040;0:25;12.587;0;V12E,V18S
F522;tschav;15:00;15:25;wazhot;1051;0:25;13.074;0;V12E,V18S
F522;wazhot;15:45;16:10;tschav;1052;0:25;12.587;0;V12E,V18S
F529;otdwie;22:40;23:10;tschav;1024;0:30;14.287;0;V12E,V18S
F529;tschav;23:15;23:40;otdwie;1023;0:25;14.286;0;V12E,V18S
F529;tschav;24:15:00;24:40:00;otdwie;1027;0:25;14.286;0;V12E,V18S
F529;tschav;25:15:00;25:40:00;otdwie;1031;0:25;14.286;0;V12E,V18S
F529;otdwie;25:40:00;26:10:00;tschav;1036;0:30;14.287;0;V12E,V18S
