# rounds;seq vsp value;seq csp value;int vsp value;int csp value;seq vsp cols;seq csp cols;int vsp cols;int csp cols;seq vsp selected cols;seq csp selected cols;int vsp selected cols;int csp selected cols;mipgap;mip runtime;total runtime;total int  value;% improvement vs seq;total runtime;rounded vh;rounded cr
-1;3403.683542;12620.33333;-;-;13140;2128;-;-;10;23;-;-;-;-;-;;;0;;
0;-;-;3403.683542;12620.33333;-;-;13140;2128;-;-;10;23;0;226.6317761;-;16024.01688;0;0;3403.7;12620.3
1;-;-;3403.683542;12400.08333;-;-;28150;4947;-;-;10;22;0;227.5729148;281.1510235;15803.76688;1.4;53.6;3403.7;12400.1
2;-;-;3651.500687;12056.66667;-;-;31730;6236;-;-;11;22;2.97E-11;228.956537;299.0955056;15708.16735;2;123.7;3651.5;12056.7
3;-;-;3607.914593;12009.75;-;-;33441;6748;-;-;11;21;1.59E-09;228.041378;305.4609047;15617.66459;2.5;201.1;3607.9;12009.8
4;-;-;3607.914593;12009.75;-;-;35223;7208;-;-;11;21;1.56E-09;227.8671582;306.7763285;15617.66459;2.5;280;3607.9;12009.8
5;-;-;3607.914593;12009.75;-;-;35929;7267;-;-;11;21;1.69E-09;228.346596;309.1958968;15617.66459;2.5;360.8;3607.9;12009.8
6;-;-;3607.914593;12009.75;-;-;36575;7268;-;-;11;21;1.65E-09;227.011395;305.0016528;15617.66459;2.5;438.8;3607.9;12009.7
7;-;-;3607.914593;12009.75;-;-;37317;7300;-;-;11;21;1.65E-09;227.9986942;308.3040577;15617.66459;2.5;519.1;3607.9;12009.8
8;-;-;3607.914593;12009.75;-;-;37566;7578;-;-;11;21;1.59E-09;227.371654;306.3660547;15617.66459;2.5;598.1;3607.9;12009.8
9;-;-;3607.914593;12009.75;-;-;37923;7644;-;-;11;21;2.45E-05;228.1539519;311.160457;15617.66459;2.5;681.1;3607.9;12009.8
10;-;-;3607.914593;12009.75;-;-;38096;7648;-;-;11;21;1.59E-09;227.780539;306.0315109;15617.66459;2.5;759.4;3607.9;12009.8
11;-;-;3607.914593;12009.75;-;-;38219;7725;-;-;11;21;1.56E-09;228.985486;312.0560834;15617.66459;2.5;842.5;3607.9;12009.8
12;-;-;3607.914593;12009.75;-;-;38446;7736;-;-;11;21;1.61E-09;228.2577589;307.834516;15617.66459;2.5;922.1;3607.9;12009.7
13;-;-;3607.914593;12005.41667;-;-;38497;8995;-;-;11;21;3.76E-11;231.683454;319.3438646;15613.33126;2.6;1009.8;3607.9;12005.4
14;-;-;3607.914593;12001.08333;-;-;39923;9525;-;-;11;21;4.05E-11;235.945019;323.4573182;15608.99793;2.6;1097.3;3607.9;12001.1
15;-;-;3421.128835;12028.16667;-;-;41338;9563;-;-;10;21;0;231.2786999;319.1143129;15449.2955;3.6;1185.1;3421.1;12028.2
16;-;-;3421.128835;12028.16667;-;-;41934;9568;-;-;10;21;0;232.6819751;324.4270208;15449.2955;3.6;1276.8;3421.1;12028.2
17;-;-;3421.128835;12028.16667;-;-;42284;9605;-;-;10;21;6.67E-11;234.411428;326.0848245;15449.2955;3.6;1368.5;3421.1;12028.2
18;-;-;3421.128835;12028.16667;-;-;42678;9640;-;-;10;21;0;232.9551048;322.3812978;15449.2955;3.6;1457.9;3421.1;12028.2
19;-;-;3421.128835;12028.16667;-;-;42914;9642;-;-;10;21;0;230.1163089;325.7986084;15449.2955;3.6;1553.6;3421.1;12028.2
20;-;-;3421.128835;12023.83333;-;-;43240;9815;-;-;10;21;3.73E-11;233.7130609;328.4373475;15444.96217;3.6;1648.3;3421.1;12023.8
