instance;sec n;sec m;ls rounds;ls maxIts;seq vsp value;seq csp value;seq vsp cols;seq csp cols;seq vsp selected cols;seq csp selected cols;seq csp selected single;int vsp value;int csp value;int vsp cols;int csp cols;int vsp selected cols;int csp selected cols;int csp selected single;final mip runtime;total runtime
../../data/terschelling;16;4;5;500000;1799.2179389489327;3706.5;2558;849;6;8;0;1813.3494469101986;3655.9166666666665;32041;2558;6;9;0;460.0834319591522;0;85.6594741;869.8486087
../../data/terschelling;16;4;5;500000;1799.2179389489327;3706.5;2558;849;6;8;0;1813.3902739723821;3655.9166666666665;34135;8816;6;9;0;481.27705693244934;0;85.6594741;993.4992616
../../data/terschelling;16;4;5;500000;1799.2179389489327;3706.5;2558;849;6;8;0;1822.5114637214747;3627.416666666667;31881;2265;6;8;0;463.09550404548645;0;85.6594741;899.6454774
../../data/terschelling;16;4;5;500000;1799.2179389489327;3706.5;2558;849;6;8;0;1798.7705287227109;3706.5;30953;7512;6;8;0;469.0044298171997;0;85.6594741;1026.524582
../../data/terschelling;16;4;5;500000;1799.2179389489327;3706.5;2558;849;6;8;0;1813.3902739723824;3655.9166666666665;33616;6982;6;9;0;476.58185601234436;0;85.6594741;972.9817648
../../data/leiden-3-4-14;4;8;50;500000;3646.600976210253;12812.166666666666;11035;3307;11;22;0;3646.600976210253;12822.833333333332;33461;17305;11;23;0;632.3917288780212;0;277.2030369;4033.6058158
../../data/leiden-3-4-14;4;8;50;500000;3646.600976210253;12812.166666666666;11035;3307;11;22;0;3646.600976210253;12769.416666666668;34519;15241;11;22;0;471.40448689460754;5.7590191447061645E-11;277.2030369;3845.8047481
../../data/leiden-3-4-14;4;8;50;500000;3646.600976210253;12812.166666666666;11035;3307;11;22;0;3647.4214002364934;12733.666666666668;39009;24789;11;22;0;498.76033782958984;0;277.2030369;4073.5223902
../../data/leiden-3-4-14;4;8;50;500000;3646.600976210253;12812.166666666666;11035;3307;11;22;0;3646.600976210253;12806.249999999998;35670;18498;11;22;0;569.3213000297546;7.500434138883954E-11;277.2030369;4053.893567
../../data/leiden-3-4-14;4;8;50;500000;3646.600976210253;12812.166666666666;11035;3307;11;22;0;3646.600976210253;12810.583333333334;38095;15697;11;22;0;500.0742828845978;0;277.2030369;3897.5908323
../../data/leiden-1-2;16;4;5;500000;3373.2968352580237;11370.583333333334;10185;2123;10;21;0;3373.2968352580237;11370.583333333334;46046;12789;10;21;0;419.13346910476685;9.012618485362542E-05;108.3435786;1932.3384628
../../data/leiden-1-2;16;4;5;500000;3373.2968352580237;11370.583333333334;10185;2123;10;21;0;3373.2968352580237;11370.583333333334;45581;15531;10;21;0;454.5228741168976;5.826663772047331E-07;108.3435786;2078.9316056
../../data/leiden-1-2;16;4;5;500000;3373.2968352580237;11370.583333333334;10185;2123;10;21;0;3396.245648599869;11304.666666666668;41700;18702;10;20;0;503.6861710548401;0;108.3435786;2058.7705569
../../data/leiden-1-2;16;4;5;500000;3373.2968352580237;11370.583333333334;10185;2123;10;21;0;3373.2968352580237;11370.583333333334;47443;19006;10;21;0;465.05125284194946;0;108.3435786;2069.7450328
../../data/leiden-1-2;16;4;5;500000;3373.2968352580237;11370.583333333334;10185;2123;10;21;0;3396.2661563041206;11291.66666666667;43714;16993;10;20;0;401.1256217956543;0;108.3435786;1960.5703401
../../data/leiden;16;4;50;500000;6124.206967390391;21577.66666666666;86462;8091;17;36;0;6150.140941698188;21497.333333333332;149538;56865;17;37;0;1800.162446975708;0.00193228112406427;658.4898086;15634.2508298;6124.206967390391;3400;200.33005000000003;1833.4206176000005;9.623000000000001;88.06969599999992;14.88000000000002;577.8836037903902;6124.206967390391;3400;200.33005000000003;1833.4206176000005;9.623000000000001;88.06969599999992;14.88000000000002;577.8836037903902;0;0;0;0;0;0;274.73333333333335;232.55;222.91666666666666;29.15;0;0;0;0;0;0;274.73333333333335;232.55;222.91666666666666;29.15;
../../data/leiden;16;4;50;500000;6124.206967390391;21577.66666666666;86462;8091;17;36;0;6143.728211805592;21525.999999999996;143721;55607;17;37;0;1800.0986700057983;0.001852451677091755;658.4898086;15196.1584485;6124.206967390391;3400;200.33005000000003;1833.4206176000005;9.623000000000001;88.06969599999992;14.88000000000002;577.8836037903902;6124.206967390391;3400;200.33005000000003;1833.4206176000005;9.623000000000001;88.06969599999992;14.88000000000002;577.8836037903902;0;0;0;0;0;0;274.73333333333335;232.55;222.91666666666666;29.15;0;0;0;0;0;0;274.73333333333335;232.55;222.91666666666666;29.15;
