Row Labels;Average of int vsp selected cols;Average of int csp selected cols;Average of rounded vsp;Average of rounded csp;Average of cost delta;Average of int vsp cols;Average of int csp cols;Average of gap rounded;Average of cg time
0;11;21;3615.3;12178.2;0;39146.0;11480.0;0.0;0.0
1;11;21;3613.0;12178.2;0.01;45291.9;11823.3;0.0;106.2
2;11;21;3610.8;12151.2;0.2;49226.7;12055.8;0.0;206.0
3;11;21;3610.7;12178.2;0.02;51452.2;12208.2;0.0;306.5
4;11.1;20.9;3631.4;12125.1;0.23;52800.0;12500.9;0.0;408.3
5;11;21;3609.3;12134.2;0.32;55169.1;12910.9;0.0;526.2
6;11;21;3607.9;12133.1;0.34;56853.5;13265.1;0.0;638.3
7;11;21.1;3606.5;12144.4;0.26;58324.4;13978.1;0.0;764.6
8;11;21;3606.0;12118.1;0.45;59448.0;14464.8;0.0;906.3
Grand Total;11.01333333;21;3612.5;12147.9;0.208;52908.2;12756.8;0.0;442.5
