Row Labels;Average of best ilp;Average of best direct;Average of #unique cols;Average of mipgap;Average of ilp runtime;Average of total runtime
5;3724.8;4084.3;1022.4;0.0;89.12841269;104.1157134
50000;4246.3;4986.9;1289.4;0.0;126.429114;127.0788296
100000;3986.2;4457.8;1082.0;0.0;85.44275861;86.50157142
500000;3568.8;3812.4;957.2;0.0;80.71493101;86.09922658
1000000;3421.9;3713.6;920.6;0.0;76.22294803;87.25389562
5000000;3400.9;3451.0;862.8;0.0;76.83231182;133.645044
10;3606.5;4013.4;1799.9;0.2;121.2865729;155.175998
50000;4033.1;4805.6;2259.8;1.2;236.5256388;237.7921872
100000;3791.6;4411.7;1880.4;0.0;130.5295783;132.8957087
500000;3421.9;3801.9;1717.8;0.0;80.52577415;92.83140872
1000000;3396.4;3602.2;1641.8;0.0;77.67801328;102.4046525
5000000;3389.6;3445.5;1499.8;0.0;81.17386012;209.9560331
25;3516.6;3940.0;3506.2;0.6;133.2426129;223.1788186
50000;3804.9;4705.7;4395.0;2.8;266.292481;269.5961691
100000;3617.5;4345.8;3590.2;0.0;147.0008371;153.2564307
500000;3388.6;3756.8;3391.8;0.0;82.90997133;114.9914915
1000000;3387.5;3487.3;3198.2;0.0;84.47645497;150.3784287
5000000;3384.7;3404.4;2956.0;0.0;85.53332;427.671573
50;3475.5;3898.4;5573.3;0.6;158.6581905;342.7268534
50000;3632.6;4665.7;7019.0;0.0;214.9556584;221.6549422
100000;3591.0;4292.1;5736.6;3.2;300.0137123;312.9269223
500000;3385.0;3717.4;5425.4;0.0;86.6127522;152.3044152
1000000;3384.6;3411.2;5082.4;0.0;91.09642119;226.0422236
5000000;3384.6;3405.8;4603.0;0.0;100.6124086;800.7057636
Grand Total;3580.9;3984.0;2975.5;0.4;125.5789473;206.2993459
